feature,effect,importance
chicago,0.3884634465859427,0.20452880043760924
location,-0.13078817131364712,0.04054127498131266
luxury,0.28930529542741756,0.02965114955896767
we,-0.09033446182391014,0.02337791127918176
decided,0.15747708359147305,0.01940322355977116
sheets,0.22617473624594164,0.01893640404397327
star,-0.07822162921525833,0.01793196386364814
for,0.00919236533071821,0.016781090606382564
finally,0.06608232153015486,0.015907371084062212
are,-0.12490280247530511,0.01539396313197697
smelled,0.3389666853308157,0.01453308972298155
seemed,0.06443051399512134,0.013979926575109027
turned,0.3139258952556245,0.013598572543447774
is,-0.07827621597199391,0.01343138087537662
recently,0.2780968366712837,0.013052534718365242
make,0.14463660961509445,0.012039922643639253
many,-0.03087101712133311,0.011896725331566282
open,-0.2603592687353876,0.01169432143273843
cleaned,0.24135323824463772,0.010887396054960932
rude,0.18281673314740043,0.010736716220788495
never,0.002840341533456081,0.010478668935845818
coffee,-0.342619526839796,0.01009452649551124
experience,0.16638521240074372,0.009935456178172493
no,-0.07975620958794782,0.008683389476960558
construction,-0.08052473418224959,0.007664678131238282
was,0.06880726459820602,0.006951462180027787
very,-0.022173268239972788,0.006773643288136459
elevator,-0.2245432557471601,0.00676531871096276
prices,0.14547968410322715,0.005717626793357107
need,0.010243447989086663,0.004910946059494522
close,-0.13694728386460403,0.004771433346392365
this,0.034975013867087235,0.004723501407163909
comfortable,-0.11130253499566511,0.004653937253402163
tiny,-0.22823902578862215,0.004611642538057746
expected,0.031897314149734346,0.004276031430436796
always,0.0009654271368312872,0.004259926015452364
rate,-0.026280016507295,0.003918156697065865
prior,-0.09363040629043001,0.0038351879261436803
probably,0.021573590065894266,0.0035871909871059123
phone,0.012417815556975909,0.003489611188296494
michigan,-0.17844587306725584,0.003452183659932907
said,-0.07842335756271018,0.0032678603554109247
on,0.06612293823931187,0.0032397877391372914
of,0.11384991950319157,0.003204333977651866
can,-0.05965816041636307,0.003068325028117662
requested,0.10497161021633039,0.002760453850014826
arrived,-0.0035671683927575026,0.0027041577623942454
call,-0.028529767246312177,0.002664786269595256
took,-0.0712306600358984,0.0024940081050395103
why,0.055501289326722436,0.002431606384776027
same,-0.09048136922618505,0.0024300445002724473
late,-0.08993055404899969,0.0024272704863786145
wait,0.14736915993263522,0.0023883808009138325
called,0.03591454109977138,0.002292035311370401
cold,-0.02531818485282966,0.0021805217982996707
website,0.08040841036002022,0.0021639447720846034
am,-0.07347607053296956,0.0021503959616672305
great,0.032368831314515734,0.002136408731661292
bar,-0.09478692237070757,0.002064841565532728
the,,0.002060495477570038
old,-0.07998029354783326,0.0020082258614193818
not,0.10625326613572655,0.001905174942236218
floor,-0.08349511024609324,0.0018355964576989886
issue,0.07446190780789524,0.001787895202741459
told,-0.07387582556563738,0.0017817045956736298
returned,0.01493749376460396,0.0017371497034972688
towels,0.2668951607117865,0.0017260548737931933
reviews,-0.10726552494627745,0.001709187714210598
charge,0.0021900529246638434,0.001675393249208669
staying,0.13698006089607823,0.0015603356866799281
travel,0.05683543778297079,0.0015424535893911488
city,-0.007728751955748792,0.001492249335558622
tell,0.0903673357042113,0.001423848737508102
which,0.0638227590977885,0.0013699539699176656
check,-0.024946610856287743,0.0013641183684812291
concierge,0.05704312978731002,0.0013617219705320234
pay,-0.18964716951727556,0.001331948997942645
everything,-0.01019113787213266,0.0013003499536356582
anyone,0.023573053220172502,0.0012822591251686203
cleaning,0.06847481177798781,0.0012697724599041052
place,0.051661956616334714,0.0012468292250666013
at,0.1627175545599398,0.001231535653490822
when,0.0382461048960977,0.0011245326221400501
either,-0.0017238032247977597,0.0011092822291224728
weren,0.19540155393812808,0.0010971951020538287
well,0.04539519351450699,0.00107121030402012
have,0.09005316070444086,0.0010657044701198742
difficult,0.15060756236757322,0.0010547883741946077
most,-0.07469754844624982,0.0009565160767191078
two,-0.08771494166065869,0.0009535765269848012
line,-0.12412737703503673,0.0009508135545457647
there,-0.025063561804929912,0.0009048696385489292
small,-0.1677054010566873,0.0009001613549602818
hotel,0.07016238472872971,0.0008938903750057011
but,-0.013643494166600989,0.0008119232671322402
once,0.08045350644722898,0.0007997786460382727
reservation,0.14095082777247897,0.0006753842552132295
hotels,0.0771336511547896,0.0006663423230455195
wife,0.2079930334302975,0.0006475647314368954
than,-0.0745341579361114,0.0006340369866211422
expect,0.025537934137566554,0.0005697704938515491
would,0.023687624741310365,0.0005692864229375054
by,-0.039586010059330046,0.0005597962715808736
because,-0.05538820387548693,0.0005229364410904104
often,-0.03814016878051041,0.00048349385104106633
bed,-0.016135402398601062,0.00048289490631108
charged,-0.013322625992359283,0.0004705517603652888
offered,0.011226105342428516,0.00046197611424361507
to,-0.044953666738233866,0.00044605764105697674
return,0.0284016849246434,0.0004437239100913693
find,0.09280972839236479,0.0004069010332462406
found,0.21765714409591347,0.0003948569555470966
looks,0.02828184185595145,0.00039368476361563393
extremely,0.12026226374791449,0.0003927108260833059
definitely,0.12201147857345634,0.00035925310200379205
set,0.05904966116894311,0.000357897421183454
such,0.03527190397291052,0.0003450586768402656
after,0.005478208568281684,0.0003372550095816828
view,-0.0464530327419484,0.0003291265668916212
my,0.18307745684506038,0.00031443980151056155
room,-0.009718388561158808,0.0002970214470243529
day,-0.04459107363475534,0.00028960891663371734
recommend,0.07492062955883733,0.0002881433165924163
put,-0.12838806373510342,0.00028750452490795364
being,0.0328411015463822,0.000253231324879744
just,0.11641785102270408,0.00025300885524041585
high,0.1383409725854855,0.00025294501336096937
and,0.2230470004137306,0.0002459781170384364
so,0.01783319764896335,0.0002361338941719635
looking,-0.029950256635316974,0.0002245367470870627
paid,-0.0224760264222556,0.00021768744367877722
better,-0.0016111551520942013,0.0001764319655936882
what,0.05357889053758902,0.0001708722418020554
else,0.0016538563604950318,0.00015832382706041322
it,0.025695211563312614,0.00015542924276047503
out,0.004491115574848881,0.00014188234436970687
only,-0.031513857770163356,0.00011813948791983969
one,0.024207373224059858,0.0001121893376382379
how,-0.001949086314739834,0.0001082879275323592
back,0.022252128663824366,0.00010293148218340842
could,0.12319575977223379,9.862904843015879e-05
away,-0.027643886472459744,9.012116311176872e-05
problems,0.21505471749637983,8.583495004301165e-05
up,0.08939928357396015,8.457672071438779e-05
reading,-0.032385848742638834,7.349211633574715e-05
help,0.16955288911328054,5.97780658904149e-05
our,-0.061627853280556644,5.805731772223075e-05
worth,-0.06811410560712028,5.695410020574593e-05
or,-0.01725226624906645,5.5089574247601247e-05
all,0.07055886582044885,4.382402071772704e-05
heard,0.019268714609351645,4.104782177415772e-05
in,0.08324609945235556,4.0477489405599053e-05
business,0.014112099286684332,3.668813044949731e-05
however,0.08278592686793262,3.410580705681409e-05
were,0.03492333562654826,2.2045057550827622e-05
standard,-0.0013487337713303238,1.2042902263596414e-05
other,-0.034864862996200896,1.1662708506880377e-05
stay,0.013177759832922298,7.83114944986215e-06
again,-0.0083980355115445,3.673392455239616e-06
bathroom,-0.08887642465009626,2.947497447027441e-06
maid,0.38302305482897914,9.178472143056578e-07
quality,0.1568846521272816,5.879079817781269e-07
long,0.1137977102949127,3.0851689577908807e-07
an,0.04997397839844958,1.0010337049491224e-07
stuck,-0.034317455697844,0.0
through,-0.19643921172779943,0.0
previous,0.04483639158533492,0.0
poor,0.015405510885014906,0.0
thought,0.1630860211518655,0.0
pool,0.08152192853557189,0.0
places,-0.12470983367493388,0.0
three,-0.11455934584230909,0.0
walked,0.10753758197744562,0.0
working,-0.06381252138360011,0.0
pillows,0.0326304880640651,0.0
pictures,-0.05842559610822168,0.0
worried,0.12200017439166638,0.0
personal,0.4002824816197138,0.0
time,0.08907878454394264,0.0
person,-0.027934797991376548,0.0
people,-0.06305841957350528,0.0
paying,0.06142545684732281,0.0
price,0.02610221001251256,0.0
work,-0.023358834327614153,0.0
will,0.0065676173485885725,0.0
wine,-0.097998640975132,0.0
received,0.22627671880070183,0.0
really,-0.024811438552020892,0.0
ready,0.019290811317837497,0.0
think,0.017327262187975978,0.0
read,-0.01845356397743142,0.0
re,-0.19600028501071898,0.0
rather,0.13911934881107374,0.0
with,0.04950175839052867,0.0
ve,0.018308702743363936,0.0
quite,-0.08712032826728305,0.0
quiet,-0.2031258045107805,0.0
wedding,0.07816547791788953,0.0
property,0.00560202494832035,0.0
though,0.10982978271833044,0.0
problem,-0.008197625313673795,0.0
without,0.012430303973110124,0.0
waiting,0.03290436558688775,0.0
past,-0.04080294740899587,0.0
times,-0.028329060134008432,0.0
visit,-0.031639762657663106,0.0
wouldn,0.14377516972056176,0.0
order,0.035591979203483004,0.0
uncomfortable,0.22642288479007677,0.0
options,0.09881307461878247,0.0
wrong,-0.017288133837446207,0.0
tried,0.07645582581836546,0.0
year,-0.08879096148833204,0.0
online,0.049786124587236635,0.0
trip,0.14628101402142324,0.0
trying,0.21405369135362196,0.0
years,-0.06650409251674105,0.0
yet,0.04944550660166208,0.0
you,-0.04729487196359394,0.0
ok,-0.16116831894803302,0.0
oh,0.09501275157158268,0.0
tub,-0.07168562183097799,0.0
waste,0.24092102969324747,0.0
ordered,0.0021381293464609596,0.0
water,-0.061118415241528,0.0
particularly,0.16463085018422957,0.0
others,-0.05325163652707687,0.0
part,-0.08906889262207635,0.0
worst,0.11589469737953562,0.0
parking,-0.05658277026331049,0.0
par,0.1649293829806155,0.0
wasn,-0.08617497217705361,0.0
paper,0.0576545038917215,0.0
palmer,-0.031727226578094014,0.0
tired,-0.07399108944591837,0.0
own,0.04940452319665767,0.0
overpriced,0.23493492325457238,0.0
overall,0.13487033958303635,0.0
toilet,0.11913741146448431,0.0
over,-0.07189995622030898,0.0
outside,0.09157692937096257,0.0
too,-0.013111634911090686,0.0
way,-0.09368393628622046,0.0
top,0.10408025369981544,0.0
recent,0.13560980771345899,0.0
things,0.025438345751413072,0.0
still,-0.03482683556240984,0.0
take,0.08228190393897922,0.0
smaller,0.2564927702326806,0.0
taken,0.06538542513251572,0.0
slow,-0.03782057054189242,0.0
sleep,0.12103589010734156,0.0
size,0.010836319059556676,0.0
sitting,-0.0066677299444980465,0.0
site,0.0633968207159123,0.0
sink,0.0588963494478299,0.0
since,0.02097325674696382,0.0
sign,-0.02759444162178032,0.0
side,-0.17561899894194205,0.0
understand,0.036340409607554525,0.0
shower,0.010652149491976126,0.0
showed,-0.035682014518036154,0.0
should,0.07075947838601793,0.0
upgrade,-0.12497971156602661,0.0
she,0.07473109884964824,0.0
wall,-0.13613028599127436,0.0
some,-0.014632333682575938,0.0
terrible,0.19801931987939125,0.0
someone,0.0434285032775274,0.0
walls,-0.06012584430059187,0.0
off,-0.009984472095575736,0.0
stayed,0.05376181768280869,0.0
suite,-0.10043911318776039,0.0
start,-0.04065540913093718,0.0
unfortunately,0.06956663556250964,0.0
supposed,0.10555249055473037,0.0
went,0.06485199616815318,0.0
sure,0.16390517818522327,0.0
staff,0.03570910588027576,0.0
spent,0.17100546918063286,0.0
somewhere,-0.020977006448885005,0.0
want,-0.07957790204629894,0.0
somewhat,0.13006514560083626,0.0
until,-0.10194741717689976,0.0
something,-0.1275093946952907,0.0
system,0.050432215022975346,0.0
several,0.047115098022717905,0.0
services,0.032600056345680306,0.0
thing,-0.17182818918140585,0.0
who,0.03880526876754503,0.0
them,-0.01733494043763839,0.0
right,0.08868112332730826,0.0
week,-0.04640763585574681,0.0
then,-0.01972287903160902,0.0
whole,-0.04158133016060683,0.0
use,0.02933979137061582,0.0
under,0.02976978724661067,0.0
these,-0.018953533727965155,0.0
restaurants,-0.11430823570182769,0.0
restaurant,0.0987651435021506,0.0
reserved,0.18731474665394532,0.0
used,0.025864011993749825,0.0
usually,-0.12604663564052487,0.0
they,-0.02267848530064609,0.0
thin,-0.0014658173364917038,0.0
request,-0.05964675421227439,0.0
regular,0.11980725572199924,0.0
rooms,-0.0379094448132925,0.0
us,-0.0017493033792233548,0.0
service,0.0015876552179813763,0.0
upon,0.309298267050183,0.0
served,0.18203454675270558,0.0
wanted,0.21712667562857996,0.0
send,0.08855675894802278,0.0
seems,0.07863576769025477,0.0
where,0.07023070668493653,0.0
that,0.08177662502638766,0.0
weekend,0.11712149135601485,0.0
seem,-0.022337768407669212,0.0
see,-0.0016272660103786585,0.0
second,-0.13513645481642367,0.0
their,-0.00287670396251527,0.0
tv,0.006395092801370905,0.0
say,0.06223427147657423,0.0
saw,-0.15481704685050413,0.0
sat,0.027595498654497674,0.0
walking,-0.12192671881275907,0.0
while,0.03782981250091705,0.0
saying,-0.07196513095335344,0.0
00,-0.06745241890331893,0.0
obviously,0.12432552591505286,0.0
first,0.07844538828858083,0.0
don,0.04049100654134008,0.0
does,-0.07300288870016775,0.0
do,-0.04555672187994275,0.0
distance,-0.17843409725235432,0.0
disappointment,-0.0589355575600915,0.0
disappointed,0.09823546697680496,0.0
dirty,-0.014545110218320334,0.0
dingy,0.16812874051272458,0.0
different,0.03645110305757532,0.0
didn,0.024931929873658387,0.0
did,0.0073463270094614175,0.0
despite,-0.09920755608503468,0.0
desk,0.05873995021559053,0.0
decent,-0.07170717568345353,0.0
deal,0.11962924375262246,0.0
days,-0.000777486046002529,0.0
dark,-0.23770463433130712,0.0
customer,-0.0360116248775883,0.0
credit,0.019548019848894982,0.0
counter,0.15068754601514361,0.0
couldn,0.001075135080737255,0.0
cost,-0.052679420128789345,0.0
corner,-0.24011002777831522,0.0
completely,0.050101057133943305,0.0
complained,-0.045940646511575534,0.0
come,-0.09925669102614032,0.0
closet,-0.24589705627771585,0.0
done,0.18416180874837634,0.0
door,-0.03585436628200811,0.0
doors,-0.2010664016632322,0.0
every,0.061482591206445725,0.0
few,-0.09359571769924568,0.0
felt,0.11932541857276308,0.0
feel,0.057722707363427606,0.0
far,0.15342216788446567,0.0
family,0.10831376977310792,0.0
fact,0.03485482057563921,0.0
