ngram_range,min_df,cv_folds,best_params,cv_f1_mean,test_acc,test_prec,test_rec,test_f1,TN,FP,FN,TP,vocab_size,model_obj,vectorizer
"(1, 1)",1,5,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8168972661306491,0.78125,0.8082191780821918,0.7375,0.7712418300653595,66,14,21,59,6885,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)",CountVectorizer()
"(1, 1)",1,10,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8119384973517194,0.78125,0.8082191780821918,0.7375,0.7712418300653595,66,14,21,59,6885,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)",CountVectorizer()
"(1, 1)",2,5,"{'n_estimators': 150, 'max_depth': 4, 'learning_rate': 0.15}",0.8137858803733607,0.74375,0.76,0.7125,0.7354838709677419,62,18,23,57,3550,"GradientBoostingClassifier(learning_rate=0.15, max_depth=4, n_estimators=150,
                           random_state=42)",CountVectorizer(min_df=2)
"(1, 1)",2,10,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8200615979287473,0.78125,0.8082191780821918,0.7375,0.7712418300653595,66,14,21,59,3550,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)",CountVectorizer(min_df=2)
"(1, 1)",5,5,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8090333948566506,0.78125,0.8169014084507042,0.725,0.7682119205298014,67,13,22,58,1766,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)",CountVectorizer(min_df=5)
"(1, 1)",5,10,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8207553044214156,0.78125,0.8169014084507042,0.725,0.7682119205298014,67,13,22,58,1766,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)",CountVectorizer(min_df=5)
"(1, 2)",1,5,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8162654778057764,0.775,0.8055555555555556,0.725,0.7631578947368421,66,14,22,58,55833,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)","CountVectorizer(ngram_range=(1, 2))"
"(1, 2)",1,10,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8166999640553481,0.775,0.8055555555555556,0.725,0.7631578947368421,66,14,22,58,55833,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)","CountVectorizer(ngram_range=(1, 2))"
"(1, 2)",2,5,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8175763236752012,0.78125,0.8082191780821918,0.7375,0.7712418300653595,66,14,21,59,15444,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)","CountVectorizer(min_df=2, ngram_range=(1, 2))"
"(1, 2)",2,10,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8123136374517925,0.78125,0.8082191780821918,0.7375,0.7712418300653595,66,14,21,59,15444,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)","CountVectorizer(min_df=2, ngram_range=(1, 2))"
"(1, 2)",5,5,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8256177065595555,0.80625,0.8356164383561644,0.7625,0.7973856209150327,68,12,19,61,4862,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)","CountVectorizer(min_df=5, ngram_range=(1, 2))"
"(1, 2)",5,10,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1}",0.8162819572161016,0.80625,0.8356164383561644,0.7625,0.7973856209150327,68,12,19,61,4862,"GradientBoostingClassifier(max_depth=2, n_estimators=300, random_state=42)","CountVectorizer(min_df=5, ngram_range=(1, 2))"
