ngram_range,min_df,cv_folds,best_C,cv_f1_mean,test_acc,test_prec,test_rec,test_f1,test_auc,TN,FP,FN,TP,vocab_size,model_obj,vectorizer
"(1, 1)",5.0,10,5,0.8580202986730756,0.85625,0.88,0.825,0.8516129032258064,0.9171875,71,9,14,66,1766,"LogisticRegression(C=5, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=5)
"(1, 2)",0.0,4,10,0.8613606070002393,0.8375,0.8214285714285714,0.8625,0.8414634146341463,0.9164062500000001,65,15,11,69,55833,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')","TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))"
"(1, 2)",0.0,10,10,0.8607799671724996,0.8375,0.8214285714285714,0.8625,0.8414634146341463,0.9164062500000001,65,15,11,69,55833,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')","TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))"
"(1, 2)",0.0,6,10,0.8525189706622682,0.8375,0.8214285714285714,0.8625,0.8414634146341463,0.9164062500000001,65,15,11,69,55833,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')","TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))"
"(1, 1)",0.0,6,10,0.8674020424020424,0.84375,0.8571428571428571,0.825,0.8407643312101911,0.92,69,11,14,66,6885,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=0.0)
"(1, 1)",0.0,4,10,0.8544356671276591,0.84375,0.8571428571428571,0.825,0.8407643312101911,0.92,69,11,14,66,6885,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=0.0)
"(1, 1)",0.0,10,10,0.8680658630629582,0.84375,0.8571428571428571,0.825,0.8407643312101911,0.92,69,11,14,66,6885,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=0.0)
"(1, 1)",2.0,10,10,0.8678998135153,0.8375,0.8461538461538461,0.825,0.8354430379746836,0.9187500000000001,68,12,14,66,3550,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=2)
"(1, 1)",2.0,6,10,0.8623292565040138,0.8375,0.8461538461538461,0.825,0.8354430379746836,0.9187500000000001,68,12,14,66,3550,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=2)
"(1, 1)",2.0,4,10,0.8541335158744833,0.8375,0.8461538461538461,0.825,0.8354430379746836,0.9187500000000001,68,12,14,66,3550,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=2)
"(1, 1)",10.0,4,10,0.8523256995516265,0.83125,0.8441558441558441,0.8125,0.8280254777070064,0.9059375000000001,68,12,15,65,1067,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=10)
"(1, 1)",10.0,6,10,0.8559333897246068,0.83125,0.8441558441558441,0.8125,0.8280254777070064,0.9059375000000001,68,12,15,65,1067,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=10)
"(1, 1)",10.0,10,10,0.8582953375522869,0.83125,0.8441558441558441,0.8125,0.8280254777070064,0.9059375000000001,68,12,15,65,1067,"LogisticRegression(C=10, penalty='l1', random_state=42, solver='saga')",TfidfVectorizer(min_df=10)
