ngram_range,min_df,cv_folds,feature_selection,k_features,best_alpha,cv_f1_mean,test_acc,test_prec,test_rec,test_f1,test_auc,TN,FP,FN,TP,vocab_size,model_obj,vectorizer
"(1, 1)",4.0,6,True,3000,0.3,0.8632647906831415,0.875,0.8658536585365854,0.8875,0.8765432098765432,0.9404687500000001,69,11,9,71,2075,MultinomialNB(alpha=0.3),TfidfVectorizer(min_df=4)
"(1, 1)",4.0,4,True,3000,0.5,0.8538012892681154,0.86875,0.8470588235294118,0.9,0.8727272727272727,0.9421875,67,13,8,72,2075,MultinomialNB(alpha=0.5),TfidfVectorizer(min_df=4)
"(1, 1)",4.0,10,True,3000,0.5,0.8707186009913104,0.86875,0.8470588235294118,0.9,0.8727272727272727,0.9421875,67,13,8,72,2075,MultinomialNB(alpha=0.5),TfidfVectorizer(min_df=4)
"(1, 2)",4.0,10,True,3000,0.1,0.9734946890561961,0.8625,0.8625,0.8625,0.8625,0.9378125,69,11,11,69,6288,MultinomialNB(alpha=0.1),"TfidfVectorizer(min_df=4, ngram_range=(1, 2))"
"(1, 1)",2.0,4,True,3000,0.3,0.8817967020509646,0.85,0.8181818181818182,0.9,0.8571428571428571,0.944375,64,16,8,72,3550,MultinomialNB(alpha=0.3),TfidfVectorizer(min_df=2)
"(1, 2)",4.0,4,True,3000,0.01,0.971967699693209,0.84375,0.8481012658227848,0.8375,0.8427672955974843,0.92328125,68,12,13,67,6288,MultinomialNB(alpha=0.01),"TfidfVectorizer(min_df=4, ngram_range=(1, 2))"
"(1, 2)",4.0,6,True,3000,0.01,0.9703303659390484,0.84375,0.8481012658227848,0.8375,0.8427672955974843,0.92328125,68,12,13,67,6288,MultinomialNB(alpha=0.01),"TfidfVectorizer(min_df=4, ngram_range=(1, 2))"
"(1, 1)",2.0,6,True,3000,0.1,0.8921102535855495,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.9378125,66,14,12,68,3550,MultinomialNB(alpha=0.1),TfidfVectorizer(min_df=2)
"(1, 1)",2.0,10,True,3000,0.1,0.8999684479869948,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.9378125,66,14,12,68,3550,MultinomialNB(alpha=0.1),TfidfVectorizer(min_df=2)
"(1, 1)",0.0,4,True,3000,0.01,0.9591223045822102,0.81875,0.8591549295774648,0.7625,0.8079470198675497,0.8926562500000002,70,10,19,61,6885,MultinomialNB(alpha=0.01),TfidfVectorizer(min_df=0.0)
"(1, 1)",0.0,6,True,3000,0.01,0.9647153786297517,0.81875,0.8591549295774648,0.7625,0.8079470198675497,0.8926562500000002,70,10,19,61,6885,MultinomialNB(alpha=0.01),TfidfVectorizer(min_df=0.0)
"(1, 1)",0.0,10,True,3000,0.01,0.9676282620778889,0.81875,0.8591549295774648,0.7625,0.8079470198675497,0.8926562500000002,70,10,19,61,6885,MultinomialNB(alpha=0.01),TfidfVectorizer(min_df=0.0)
"(1, 2)",2.0,4,True,3000,0.01,0.9984472049689441,0.8125,0.8571428571428571,0.75,0.8,0.88859375,70,10,20,60,15444,MultinomialNB(alpha=0.01),"TfidfVectorizer(min_df=2, ngram_range=(1, 2))"
"(1, 2)",2.0,6,True,3000,0.01,1.0,0.8125,0.8571428571428571,0.75,0.8,0.88859375,70,10,20,60,15444,MultinomialNB(alpha=0.01),"TfidfVectorizer(min_df=2, ngram_range=(1, 2))"
"(1, 2)",2.0,10,True,3000,0.01,1.0,0.8125,0.8571428571428571,0.75,0.8,0.88859375,70,10,20,60,15444,MultinomialNB(alpha=0.01),"TfidfVectorizer(min_df=2, ngram_range=(1, 2))"
"(1, 2)",0.0,6,True,3000,0.01,0.9984423676012462,0.78125,0.8169014084507042,0.725,0.7682119205298014,0.88796875,67,13,22,58,55833,MultinomialNB(alpha=0.01),"TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))"
"(1, 2)",0.0,10,True,3000,0.01,0.9984615384615385,0.78125,0.8169014084507042,0.725,0.7682119205298014,0.88796875,67,13,22,58,55833,MultinomialNB(alpha=0.01),"TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))"
"(1, 2)",0.0,4,True,3000,0.01,0.9984472049689441,0.78125,0.8169014084507042,0.725,0.7682119205298014,0.88796875,67,13,22,58,55833,MultinomialNB(alpha=0.01),"TfidfVectorizer(min_df=0.0, ngram_range=(1, 2))"
